,lead_time,lead_time,total_nights,total_nights,party_size,party_size,previous_cancellations,previous_cancellations,previous_bookings_not_canceled,previous_bookings_not_canceled,total_of_special_requests,total_of_special_requests,required_car_parking_spaces,required_car_parking_spaces
,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median
cluster_km,,,,,,,,,,,,,,
0,139.47,128.0,8.45,7.0,1.98,2.0,0.0,0.0,0.01,0.0,0.51,0.0,0.07,0.0
1,5.71,3.0,1.87,1.0,1.61,2.0,0.0,0.0,0.05,0.0,0.31,0.0,0.13,0.0
2,14.58,3.0,1.71,1.0,1.21,1.0,0.59,0.0,7.26,4.0,0.74,0.0,0.22,0.0
3,213.64,257.0,2.73,2.0,1.84,2.0,1.56,1.0,0.02,0.0,0.12,0.0,0.0,0.0
4,147.95,113.0,2.83,3.0,1.8,2.0,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.0
5,88.25,66.0,3.59,3.0,3.45,3.0,0.0,0.0,0.0,0.0,0.59,0.0,0.1,0.0
6,85.2,61.0,3.28,3.0,2.01,2.0,0.0,0.0,0.01,0.0,1.55,1.0,0.07,0.0
